"","document","topic","gamma"
"109","8",1,0.00432631713605838
"110","866",1,0.00235135353138222
"111","1193",1,0.00272446960478905
"112","1444",1,0.00287662524235072
"113","643",1,0.0025876015169911
"114","761",1,0.0037040853818534
"115","763",1,0.0037040853818534
"116","6",1,0.0840735771208099
"117","505",1,0.00432631710346651
"118","865",1,0.00399109458573402
"119","1175",1,0.00287662524235072
"120","506",1,0.00304678128687831
"121","581",1,0.00272446959789722
"122","809",1,0.00578367536021911
"123","831",1,0.0883189421895237
"124","1015",1,0.0023513535192455
"125","1437",1,0.00745869344405208
"126","1296",1,0.0037040853818534
"127","1360",1,0.00235135352473306
"128","331",1,0.00272446960954615
"129","1018",1,0.00745869332446472
"130","1271",1,0.139300578154593
"131","1462",1,0.00304678128687831
"132","884",1,0.00272446959789722
"133","1318",1,0.00246382722205068
"134","1192",1,0.00258760152331868
"135","811",1,0.00345558589497038
"136","1150",1,0.00432631710346651
"137","161",1,0.00304678129416646
"138","1066",1,0.00224870035696853
"139","868",1,0.00432631710346651
"140","209",1,0.00399109469593095
"141","115",1,0.742329804434941
"142","645",1,0.0051998082211012
"143","1082",1,0.0037040853818534
"144","1019",1,0.00345558592422597
"145","1137",1,0.0037040853818534
"146","237",1,0.00287662524235072
"147","1311",1,0.516696247294809
"148","408",1,0.00399109458573402
"149","1535",1,0.00345558589497038
"150","995",1,0.00323833279344371
"151","448",1,0.00370408538188501
"152","1533",1,0.052951843306596
"153","546",1,0.00399109458573402
"154","936",1,0.0037040853818534
"155","1428",1,0.00235135351924551
"156","261",1,0.00519980820210755
"157","44",1,0.00287662532094959
"158","189",1,0.00345558589497038
"159","935",1,0.00304678129280838
"160","1286",1,0.0025876015197814
"161","756",1,0.00287662524402899
"162","824",1,0.00272446959789722
"163","273",1,0.00432631710346651
"164","734",1,0.00323833279344371
"165","249",1,0.00651524841624923
"166","618",1,0.00304678128687831
"167","434",1,0.00432631710346651
"168","1403",1,0.00472301558879561
"169","257",1,0.00399109458573402
"170","1390",1,0.00184579132087444
"171","562",1,0.00472301558879561
"172","565",1,0.00304678128687831
"173","653",1,0.00258760155547004
"174","582",1,0.00304678129254768
"175","187",1,0.00432631710346651
"176","1480",1,0.00246382722671487
"177","803",1,0.00399109458573402
"178","1388",1,0.0024638272221001
"179","1041",1,0.00399109458573402
"180","1245",1,0.00345558589497037
"181","1168",1,0.00345558589497037
"182","429",1,0.00272446961963967
"183","352",1,0.00272446959815667
"184","1001",1,0.00272446965214504
"185","1007",1,0.00287662524235072
"186","1239",1,0.00304678128688838
"187","1402",1,0.00345558590244061
"188","1525",1,0.00287662537892403
"189","388",1,0.00432631714942965
"190","265",1,0.00287662524235072
"191","1051",1,0.00323833279344371
"192","175",1,0.00578367536021911
"193","1345",1,0.00246382722205068
"194","100",1,0.00258760160399585
"195","74",1,0.00323833279344371
"196","712",1,0.779049388107811
"197","153",1,0.00272446959789722
"198","992",1,0.00519980820210755
"199","976",1,0.00287662524235072
"200","1181",1,0.00258760160045196
"201","690",1,0.00370408546573029
"202","1136",1,0.00258760152541304
"203","589",1,0.0661084532251775
"204","211",1,0.0037040853818534
"205","588",1,0.0025876015169911
"206","1285",1,0.00345558589497037
"207","642",1,0.0037040853818534
"208","337",1,0.0037040853818534
"209","346",1,0.0025876015169911
"210","718",1,0.00472301558882449
"211","857",1,0.00323833279344371
