"","topic","term","beta"
"242",20,"nimmt",2.14998649310149e-273
"243",21,"nimmt",3.09199685465364e-66
"244",22,"nimmt",5.65589275092791e-266
"245",23,"nimmt",0.00221858446454445
"246",24,"nimmt",5.51739523707821e-35
"247",25,"nimmt",2.82272253491206e-48
"248",26,"nimmt",3.29326241342171e-89
"249",27,"nimmt",2.57709725963964e-78
"250",28,"nimmt",1.06011250302144e-198
"251",29,"nimmt",2.17565429413603e-267
"252",30,"nimmt",6.4765545126353e-271
"253",31,"nimmt",9.87001392606917e-33
"254",32,"nimmt",3.31152163915825e-25
"255",33,"nimmt",1.15336906927365e-267
"256",34,"nimmt",1.1683110943646e-272
"257",35,"nimmt",1.09715543075925e-192
"258",36,"nimmt",6.2001331528941e-208
"259",37,"nimmt",1.34364615036509e-43
"260",1,"profil",4.28017578603811e-114
"261",2,"profil",5.96423147578461e-95
"262",3,"profil",3.67976148102996e-37
"263",4,"profil",2.18590347880211e-72
"264",5,"profil",6.82904931875124e-35
"265",6,"profil",1.44461220915987e-90
"266",7,"profil",1.23698838723475e-60
"267",8,"profil",1.71504017797143e-278
"268",9,"profil",2.96274532198793e-47
"269",10,"profil",8.31885791263069e-271
"270",11,"profil",3.39304695964178e-73
"271",12,"profil",1.57898821886411e-32
"272",13,"profil",1.83254652654908e-99
"273",14,"profil",6.01227502899609e-52
"274",15,"profil",5.4654524350255e-75
"275",16,"profil",6.64575631734597e-269
"276",17,"profil",1.95799116589114e-103
"277",18,"profil",9.03769670593768e-106
"278",19,"profil",1.1511593981923e-62
"279",20,"profil",5.9759994547905e-42
"280",21,"profil",1.4511018752873e-78
"281",22,"profil",3.88205861416757e-62
"282",23,"profil",7.79962973505971e-151
"283",24,"profil",7.97337444537878e-30
"284",25,"profil",2.29424904936859e-89
"285",26,"profil",8.92629661416323e-270
"286",27,"profil",6.6648007475506e-52
"287",28,"profil",9.82766037034417e-102
"288",29,"profil",5.31094918494806e-62
"289",30,"profil",1.58758113003418e-112
"290",31,"profil",3.71432240194891e-105
"291",32,"profil",8.16732853787088e-43
"292",33,"profil",5.59228841662124e-12
"293",34,"profil",7.86537783791586e-269
"294",35,"profil",2.89345921390084e-61
"295",36,"profil",1.78886005888152e-21
"296",37,"profil",0.104684942123785
"297",1,"typ",2.4841247982145e-273
"298",2,"typ",7.28982108967209e-70
"299",3,"typ",1.22132771705904e-44
"300",4,"typ",1.7726246657209e-54
"301",5,"typ",2.19455590158985e-60
"302",6,"typ",1.153378221578e-111
"303",7,"typ",1.1564968619749e-281
"304",8,"typ",7.92057868459417e-277
"305",9,"typ",1.44489017167557e-76
"306",10,"typ",1.8571018398067e-279
"307",11,"typ",4.36267496364193e-45
"308",12,"typ",4.64933234874189e-76
"309",13,"typ",2.30787618199157e-283
"310",14,"typ",4.05680225994672e-46
"311",15,"typ",1.43021719687803e-277
"312",16,"typ",3.9879232442126e-59
"313",17,"typ",1.25722319120706e-265
"314",18,"typ",1.12945200230084e-34
"315",19,"typ",1.17266508758369e-51
"316",20,"typ",1.59191255907402e-11
"317",21,"typ",0.0330089832616849
"318",22,"typ",6.6838654308899e-276
"319",23,"typ",7.85758841004305e-273
"320",24,"typ",2.43849927837061e-38
"321",25,"typ",1.87993400519308e-56
"322",26,"typ",1.37465935751902e-60
"323",27,"typ",5.26920573837585e-274
"324",28,"typ",2.66054472360591e-62
"325",29,"typ",1.22712492735053e-278
