"","topic","term","beta"
"14180",9,"vorarbeit",6.01554505555443e-236
"14181",10,"vorarbeit",6.98126468020412e-44
"14182",11,"vorarbeit",1.55642909619225e-248
"14183",12,"vorarbeit",3.26911578096338e-43
"14184",13,"vorarbeit",2.36866475136292e-255
"14185",14,"vorarbeit",0.00271115105978933
"14186",15,"vorarbeit",5.46297452959659e-220
"14187",16,"vorarbeit",7.9305373079259e-257
"14188",17,"vorarbeit",1.62530337367401e-46
"14189",18,"vorarbeit",3.16103601265317e-251
"14190",19,"vorarbeit",2.45344195396032e-44
"14191",20,"vorarbeit",1.05661756358357e-28
"14192",21,"vorarbeit",8.40138882818813e-248
"14193",22,"vorarbeit",3.93593301708121e-226
"14194",23,"vorarbeit",0.0110929223194734
"14195",24,"vorarbeit",1.39401920289355e-257
"14196",25,"vorarbeit",5.32939127966637e-49
"14197",26,"vorarbeit",1.9905540719119e-251
"14198",27,"vorarbeit",5.70771772070229e-55
"14199",28,"vorarbeit",1.92427160022061e-259
"14200",29,"vorarbeit",1.01138198048157e-249
"14201",30,"vorarbeit",5.54075939597032e-36
"14202",31,"vorarbeit",6.43538739289103e-249
"14203",32,"vorarbeit",1.61876988369797e-253
"14204",33,"vorarbeit",0.00264857326882531
"14205",34,"vorarbeit",3.48478189295925e-42
"14206",35,"vorarbeit",6.71661852892638e-59
"14207",36,"vorarbeit",4.71498270459147e-228
"14208",37,"vorarbeit",3.33649803564532e-21
"14209",1,"angewendet",4.05647288748909e-206
"14210",2,"angewendet",2.05645826322897e-18
"14211",3,"angewendet",7.19362167857044e-45
"14212",4,"angewendet",1.88456740627075e-08
"14213",5,"angewendet",2.84451281422395e-251
"14214",6,"angewendet",1.77181496812778e-264
"14215",7,"angewendet",1.11097250712816e-261
"14216",8,"angewendet",3.83739476041504e-268
"14217",9,"angewendet",0.0169958232256173
"14218",10,"angewendet",1.13656477153217e-251
"14219",11,"angewendet",9.84072890228399e-28
"14220",12,"angewendet",1.8865544928321e-259
"14221",13,"angewendet",2.29500294908156e-75
"14222",14,"angewendet",1.14901579796532e-259
"14223",15,"angewendet",1.01006991705444e-92
"14224",16,"angewendet",2.57355704795185e-263
"14225",17,"angewendet",7.46322902945191e-59
"14226",18,"angewendet",0.00271225116983086
"14227",19,"angewendet",2.62098294001105e-61
"14228",20,"angewendet",4.26727495712602e-181
"14229",21,"angewendet",3.977854812789e-76
"14230",22,"angewendet",5.62792487132451e-159
"14231",23,"angewendet",8.69173420893229e-111
"14232",24,"angewendet",1.47394410808791e-80
"14233",25,"angewendet",2.20097127241335e-41
"14234",26,"angewendet",2.20249569642392e-64
"14235",27,"angewendet",5.87588058991287e-96
"14236",28,"angewendet",8.78308386486684e-267
"14237",29,"angewendet",2.48154144749687e-67
"14238",30,"angewendet",1.60736374287262e-25
"14239",31,"angewendet",2.36747751838201e-242
"14240",32,"angewendet",5.10178726155873e-77
"14241",33,"angewendet",3.4797199354634e-81
"14242",34,"angewendet",9.45963076062534e-261
"14243",35,"angewendet",0.0050511818377567
"14244",36,"angewendet",0.00294295898924119
"14245",37,"angewendet",8.18284142296666e-99
"14246",1,"experimentalgrupp",1.96835690693073e-251
"14247",2,"experimentalgrupp",4.00256214234673e-41
"14248",3,"experimentalgrupp",4.03448439011225e-39
"14249",4,"experimentalgrupp",3.41658397547301e-230
"14250",5,"experimentalgrupp",1.20783028100004e-222
"14251",6,"experimentalgrupp",1.57554647281451e-267
"14252",7,"experimentalgrupp",4.14604083548504e-60
"14253",8,"experimentalgrupp",0.00379279852921144
"14254",9,"experimentalgrupp",2.38375962161442e-22
"14255",10,"experimentalgrupp",0.00283090781325606
"14256",11,"experimentalgrupp",7.26180593485894e-39
"14257",12,"experimentalgrupp",8.24257643600793e-263
"14258",13,"experimentalgrupp",1.43863633282282e-266
"14259",14,"experimentalgrupp",4.29094158389377e-264
"14260",15,"experimentalgrupp",6.96616904437818e-260
"14261",16,"experimentalgrupp",1.30471582590841e-266
"14262",17,"experimentalgrupp",3.52408459747472e-266
"14263",18,"experimentalgrupp",1.27117788286828e-41
"14264",19,"experimentalgrupp",0.0240542892061861
"14265",20,"experimentalgrupp",7.87731538472091e-267
"14266",21,"experimentalgrupp",1.73911282275236e-48
"14267",22,"experimentalgrupp",1.33235203032946e-181
"14268",23,"experimentalgrupp",4.36476431057798e-52
"14269",24,"experimentalgrupp",9.49918682821713e-270
"14270",25,"experimentalgrupp",3.32200947202168e-269
"14271",26,"experimentalgrupp",6.08583723235129e-91
"14272",27,"experimentalgrupp",6.19805056047866e-263
"14273",28,"experimentalgrupp",2.09568846034708e-14
"14274",29,"experimentalgrupp",4.0163817830112e-65
"14275",30,"experimentalgrupp",1.26486675413246e-40
"14276",31,"experimentalgrupp",8.25802008075343e-94
"14277",32,"experimentalgrupp",0.00222283985802378
"14278",33,"experimentalgrupp",9.55581643628919e-260
"14279",34,"experimentalgrupp",7.45407521082621e-259
"14280",35,"experimentalgrupp",0.00246046547617059
"14281",36,"experimentalgrupp",3.35842309484979e-266
"14282",37,"experimentalgrupp",3.64323422076074e-271
"14283",1,"haltung",2.01763002047458e-36
"14284",2,"haltung",8.7916701376522e-61
"14285",3,"haltung",0.0152430708320783
"14286",4,"haltung",1.96168421521906e-263
"14287",5,"haltung",2.80391208819793e-261
"14288",6,"haltung",3.82946009718848e-09
"14289",7,"haltung",5.79682116040518e-25
"14290",8,"haltung",1.33061597835215e-25
"14291",9,"haltung",1.96231210372722e-07
"14292",10,"haltung",6.87425544319831e-257
"14293",11,"haltung",7.11509868935994e-242
"14294",12,"haltung",8.47469429854513e-33
"14295",13,"haltung",1.0870982334166e-264
"14296",14,"haltung",2.86566515758961e-262
"14297",15,"haltung",5.36274826442442e-69
"14298",16,"haltung",3.42590968652086e-265
"14299",17,"haltung",0.00249215529816944
"14300",18,"haltung",6.62888005324047e-259
"14301",19,"haltung",3.39214603517994e-15
"14302",20,"haltung",5.34329144149474e-263
"14303",21,"haltung",1.83240054735599e-254
"14304",22,"haltung",7.47159851290807e-24
"14305",23,"haltung",3.27323861168787e-260
"14306",24,"haltung",3.72624998532543e-81
"14307",25,"haltung",4.51591951327136e-51
"14308",26,"haltung",7.50601242329792e-261
"14309",27,"haltung",2.44957942737714e-261
"14310",28,"haltung",1.2103407518962e-57
"14311",29,"haltung",2.84847060005104e-43
"14312",30,"haltung",1.28928513591425e-265
"14313",31,"haltung",3.36432639376574e-258
"14314",32,"haltung",1.00413965505286e-263
"14315",33,"haltung",0.0026485732637877
"14316",34,"haltung",1.01463090954783e-263
"14317",35,"haltung",3.67254010305946e-263
"14318",36,"haltung",8.02621559867302e-260
"14319",37,"haltung",1.21337961702971e-49
"14320",1,"konventionell",8.65751541386423e-251
"14321",2,"konventionell",4.90983457547996e-263
"14322",3,"konventionell",1.68951913453671e-39
"14323",4,"konventionell",1.53826851832478e-49
"14324",5,"konventionell",2.1843742355906e-266
"14325",6,"konventionell",9.20215357323603e-272
"14326",7,"konventionell",2.02452505465917e-269
"14327",8,"konventionell",1.84945455922202e-273
"14328",9,"konventionell",0.00524416362575749
"14329",10,"konventionell",1.86453399892392e-235
"14330",11,"konventionell",3.38921923062266e-42
"14331",12,"konventionell",6.29221944202466e-269
"14332",13,"konventionell",7.16079242385173e-271
"14333",14,"konventionell",2.97006562918001e-249
"14334",15,"konventionell",2.17378948540374e-90
"14335",16,"konventionell",8.03432009501837e-54
"14336",17,"konventionell",5.31877191923351e-270
"14337",18,"konventionell",3.36584937885025e-266
"14338",19,"konventionell",1.24501926861952e-18
"14339",20,"konventionell",8.22018548346669e-26
"14340",21,"konventionell",7.11193214327078e-09
"14341",22,"konventionell",3.05598304585349e-265
"14342",23,"konventionell",0.00443716889002758
"14343",24,"konventionell",1.55777057775837e-51
"14344",25,"konventionell",5.92256488877255e-275
"14345",26,"konventionell",2.33864611541668e-267
"14346",27,"konventionell",1.18448369004695e-144
"14347",28,"konventionell",1.3899981001882e-276
"14348",29,"konventionell",1.07986466232347e-63
"14349",30,"konventionell",6.74982767215835e-225
"14350",31,"konventionell",6.84689048237545e-10
"14351",32,"konventionell",1.04152123098913e-49
"14352",33,"konventionell",1.44789217810764e-266
"14353",34,"konventionell",5.62677457582006e-270
"14354",35,"konventionell",1.06339840577556e-261
"14355",36,"konventionell",7.78143966452899e-40
"14356",37,"konventionell",7.33334892732736e-276
"14357",1,"postt",1.11289254903247e-244
"14358",2,"postt",3.81503538521721e-43
"14359",3,"postt",2.23976454832812e-36
"14360",4,"postt",6.02062794784883e-20
"14361",5,"postt",2.51684698211343e-258
"14362",6,"postt",3.28253852637094e-69
"14363",7,"postt",6.96633131867083e-75
"14364",8,"postt",2.20317713511507e-266
"14365",9,"postt",0.00816753699532953
"14366",10,"postt",0.00283090781746709
"14367",11,"postt",0.00531222231905378
"14368",12,"postt",0.00506664806822949
"14369",13,"postt",1.06993816218897e-51
"14370",14,"postt",5.01044877677012e-259
"14371",15,"postt",8.49456215616802e-257
"14372",16,"postt",8.89182139785618e-261
"14373",17,"postt",5.62029397429952e-261
"14374",18,"postt",4.91320865241402e-44
"14375",19,"postt",4.13178709864595e-25
"14376",20,"postt",3.53435638633302e-70
"14377",21,"postt",7.92334335686503e-255
"14378",22,"postt",9.76387819328628e-182
"14379",23,"postt",1.7071289918933e-28
"14380",24,"postt",9.77415628312554e-265
"14381",25,"postt",3.36004458214115e-263
"14382",26,"postt",1.20216268694557e-254
"14383",27,"postt",3.4544194961765e-257
"14384",28,"postt",4.82077096458487e-153
"14385",29,"postt",1.22015620655677e-60
"14386",30,"postt",6.3526045646231e-263
"14387",31,"postt",6.10718177074146e-254
"14388",32,"postt",0.00240519402522128
"14389",33,"postt",1.66175588680389e-257
"14390",34,"postt",5.60760151769063e-258
"14391",35,"postt",2.11745183976659e-261
"14392",36,"postt",1.33364303839993e-260
"14393",37,"postt",1.15230294812775e-266
"14394",1,"siebt",0.00264085531015625
"14395",2,"siebt",9.48381556088573e-255
"14396",3,"siebt",9.73796925151432e-25
"14397",4,"siebt",1.78893523796773e-263
"14398",5,"siebt",3.88977941810049e-38
"14399",6,"siebt",2.42701254156074e-264
"14400",7,"siebt",0.00237587514326855
"14401",8,"siebt",4.04808879501756e-226
"14402",9,"siebt",0.00262208516518096
"14403",10,"siebt",8.81969073991934e-53
"14404",11,"siebt",1.71000784348642e-256
"14405",12,"siebt",3.1959007593641e-18
"14406",13,"siebt",1.3920462732749e-263
"14407",14,"siebt",2.4198438231467e-49
"14408",15,"siebt",1.91098936321144e-258
"14409",16,"siebt",1.17033931494215e-64
"14410",17,"siebt",2.99107385449274e-261
"14411",18,"siebt",3.2109217684358e-259
"14412",19,"siebt",1.34423977185668e-24
"14413",20,"siebt",3.09289739108536e-264
"14414",21,"siebt",3.23414307900003e-255
"14415",22,"siebt",6.96464127231529e-257
"14416",23,"siebt",8.37184004675889e-188
"14417",24,"siebt",1.18368398586936e-18
"14418",25,"siebt",4.48856972536585e-265
"14419",26,"siebt",4.87653618822064e-260
"14420",27,"siebt",1.77555418468113e-78
"14421",28,"siebt",2.15305038557054e-39
"14422",29,"siebt",7.53922143434752e-48
"14423",30,"siebt",4.74906754890878e-266
"14424",31,"siebt",2.86199594025298e-257
"14425",32,"siebt",1.91171195854011e-263
"14426",33,"siebt",4.11930187945199e-260
"14427",34,"siebt",8.94315732023362e-264
"14428",35,"siebt",1.30698974127781e-262
"14429",36,"siebt",0.0022869161772424
"14430",37,"siebt",9.40999584314353e-126
"14431",1,"technologi",8.1093149715935e-26
"14432",2,"technologi",1.15324798897747e-25
"14433",3,"technologi",2.64029111896523e-42
"14434",4,"technologi",1.66033817776425e-64
"14435",5,"technologi",2.96934502034468e-80
"14436",6,"technologi",1.76520122716285e-62
"14437",7,"technologi",4.77343149720308e-36
"14438",8,"technologi",1.62010159902467e-62
"14439",9,"technologi",1.66831958669337e-21
"14440",10,"technologi",1.3055452680582e-68
"14441",11,"technologi",0.00301410330917853
"14442",12,"technologi",1.7132293443594e-258
"14443",13,"technologi",3.47098483378389e-261
"14444",14,"technologi",1.84203943028458e-259
"14445",15,"technologi",8.02928001717952e-47
"14446",16,"technologi",4.17099551335566e-66
"14447",17,"technologi",6.81778989443111e-136
"14448",18,"technologi",1.82699119015809e-257
"14449",19,"technologi",2.93087618626471e-38
"14450",20,"technologi",4.10220274388461e-42
"14451",21,"technologi",3.79860048505371e-252
"14452",22,"technologi",2.14080474357245e-33
"14453",23,"technologi",2.18204223950018e-27
"14454",24,"technologi",1.04534497025883e-26
"14455",25,"technologi",9.78890776842075e-194
"14456",26,"technologi",3.52133488005922e-10
"14457",27,"technologi",2.78148193708581e-18
"14458",28,"technologi",0.00973093119829072
"14459",29,"technologi",0.02550630764939
"14460",30,"technologi",2.40896645036877e-172
"14461",31,"technologi",0.00626383241112407
"14462",32,"technologi",5.43156037614284e-263
"14463",33,"technologi",1.21186517405436e-256
"14464",34,"technologi",4.07448176413035e-22
"14465",35,"technologi",7.01640349856339e-261
"14466",36,"technologi",1.01579362549451e-69
"14467",37,"technologi",6.90532534985758e-70
"14468",1,"besuch",1.0153042280023e-74
"14469",2,"besuch",7.39733956044546e-54
"14470",3,"besuch",3.83561897006279e-60
"14471",4,"besuch",1.96111303826947e-266
"14472",5,"besuch",1.15517380573749e-182
"14473",6,"besuch",5.05675866678897e-27
"14474",7,"besuch",4.73902645861414e-87
"14475",8,"besuch",0.0423477150102197
"14476",9,"besuch",4.58371696503608e-74
"14477",10,"besuch",8.87499094447711e-82
"14478",11,"besuch",9.72009595413621e-45
"14479",12,"besuch",5.3902460239084e-272
"14480",13,"besuch",1.11102244879298e-277
"14481",14,"besuch",1.16636734319437e-273
"14482",15,"besuch",1.94316641793241e-87
"14483",16,"besuch",1.11499839307455e-88
"14484",17,"besuch",1.73658596472958e-91
"14485",18,"besuch",3.45810366791624e-15
"14486",19,"besuch",9.29226150129334e-64
"14487",20,"besuch",4.55853442570625e-275
"14488",21,"besuch",6.656938551952e-32
"14489",22,"besuch",6.98768070301159e-82
"14490",23,"besuch",1.13443005161907e-77
"14491",24,"besuch",2.21850069637977e-87
"14492",25,"besuch",4.6274272699421e-83
"14493",26,"besuch",2.5559946860596e-101
"14494",27,"besuch",4.52519032833625e-274
"14495",28,"besuch",9.71062040904634e-88
"14496",29,"besuch",4.58153159441742e-60
"14497",30,"besuch",5.86442341477308e-135
"14498",31,"besuch",4.36241850591502e-08
"14499",32,"besuch",8.91067590422803e-95
"14500",33,"besuch",5.51062702507012e-55
"14501",34,"besuch",2.93480598894047e-254
"14502",35,"besuch",5.73595410564541e-104
"14503",36,"besuch",6.62997074810994e-80
"14504",37,"besuch",4.1132368095909e-88
"14505",1,"kategorisier",8.52602858415115e-275
"14506",2,"kategorisier",1.00461144597035e-269
"14507",3,"kategorisier",6.7598485957221e-272
"14508",4,"kategorisier",0.00232805227364023
"14509",5,"kategorisier",4.18605744573115e-276
"14510",6,"kategorisier",1.12661777725046e-62
"14511",7,"kategorisier",2.0808435347018e-278
"14512",8,"kategorisier",1.29621578551851e-19
"14513",9,"kategorisier",6.56871724168693e-152
"14514",10,"kategorisier",1.54043410946183e-45
"14515",11,"kategorisier",3.95922663470737e-67
"14516",12,"kategorisier",1.06389078607314e-274
"14517",13,"kategorisier",1.04333249894354e-29
"14518",14,"kategorisier",2.50338347435209e-277
"14519",15,"kategorisier",3.45115033892168e-275
"14520",16,"kategorisier",1.24277242404794e-279
"14521",17,"kategorisier",5.1277226643604e-278
"14522",18,"kategorisier",0.00794154660900778
"14523",19,"kategorisier",2.4770405134389e-277
"14524",20,"kategorisier",4.83606026531676e-279
"14525",21,"kategorisier",2.7850636293192e-35
"14526",22,"kategorisier",8.05620330397115e-272
"14527",23,"kategorisier",2.93163794285799e-280
"14528",24,"kategorisier",3.30574087035939e-282
"14529",25,"kategorisier",4.67069407728195e-277
"14530",26,"kategorisier",1.5789618364633e-277
"14531",27,"kategorisier",1.90228681494395e-275
"14532",28,"kategorisier",3.99211406010637e-57
"14533",29,"kategorisier",1.37706700374377e-273
"14534",30,"kategorisier",2.70913910636501e-280
"14535",31,"kategorisier",5.62292415109195e-69
"14536",32,"kategorisier",1.23281439978087e-278
"14537",33,"kategorisier",1.60512828247078e-202
"14538",34,"kategorisier",7.48785635134743e-278
"14539",35,"kategorisier",1.13824967873841e-276
"14540",36,"kategorisier",3.1665398297889e-281
"14541",37,"kategorisier",1.79182645459163e-283
"14542",1,"kiel",4.23872360473529e-267
"14543",2,"kiel",2.32989529065155e-65
"14544",3,"kiel",8.66511563121233e-265
"14545",4,"kiel",5.96821632686122e-271
"14546",5,"kiel",1.17026571606153e-269
"14547",6,"kiel",3.08417854881228e-74
"14548",7,"kiel",3.44567114240404e-272
"14549",8,"kiel",1.6763909980243e-16
"14550",9,"kiel",4.75920668630936e-46
"14551",10,"kiel",1.40608237982434e-269
"14552",11,"kiel",1.12978878779463e-67
"14553",12,"kiel",2.37836855036898e-270
"14554",13,"kiel",3.16156065809598e-21
"14555",14,"kiel",1.79715449779979e-181
"14556",15,"kiel",1.03623093199461e-269
"14557",16,"kiel",3.8781194350177e-65
"14558",17,"kiel",6.59146596672139e-273
"14559",18,"kiel",0.00794106009058041
"14560",19,"kiel",3.76937184231912e-242
"14561",20,"kiel",9.22840918376849e-55
"14562",21,"kiel",2.64498221977767e-48
"14563",22,"kiel",1.673127062852e-266
"14564",23,"kiel",8.81278128816052e-274
"14565",24,"kiel",2.73080236384247e-276
"14566",25,"kiel",3.82182237207649e-07
"14567",26,"kiel",0.00259815419424661
"14568",27,"kiel",9.73811371337496e-270
"14569",28,"kiel",3.62563370351761e-278
"14570",29,"kiel",7.74483250894713e-252
"14571",30,"kiel",6.5014436986373e-275
"14572",31,"kiel",1.64281867554058e-60
"14573",32,"kiel",4.41135847755039e-273
"14574",33,"kiel",2.03096436843379e-268
"14575",34,"kiel",3.17900041867372e-271
"14576",35,"kiel",1.15562002657218e-163
"14577",36,"kiel",3.41358916512813e-274
"14578",37,"kiel",2.13750896992123e-277
"14579",1,"kontinui",6.20255738083686e-26
"14580",2,"kontinui",6.73161208034207e-227
"14581",3,"kontinui",3.19698510154637e-247
"14582",4,"kontinui",1.97406649731256e-73
"14583",5,"kontinui",3.1010269024849e-251
"14584",6,"kontinui",1.21436291423459e-32
"14585",7,"kontinui",1.71948353220654e-54
"14586",8,"kontinui",0.00410734911661254
"14587",9,"kontinui",0.0127504996440186
"14588",10,"kontinui",2.68895640837129e-71
"14589",11,"kontinui",5.21107110579702e-10
"14590",12,"kontinui",8.77866818586123e-06
"14591",13,"kontinui",4.28822075842864e-82
"14592",14,"kontinui",3.44893594681432e-53
"14593",15,"kontinui",1.19233974312849e-43
"14594",16,"kontinui",6.44559476293611e-34
"14595",17,"kontinui",8.20863493626417e-118
"14596",18,"kontinui",3.53316503560855e-13
"14597",19,"kontinui",9.83848872755474e-37
"14598",20,"kontinui",5.84915538896616e-84
"14599",21,"kontinui",1.91214600402167e-21
"14600",22,"kontinui",2.36436240087054e-249
"14601",23,"kontinui",2.44918347998251e-256
"14602",24,"kontinui",6.1914615744991e-17
"14603",25,"kontinui",1.55725700736183e-43
"14604",26,"kontinui",1.25744245517376e-51
"14605",27,"kontinui",5.09708395525022e-28
"14606",28,"kontinui",7.10004274005846e-259
"14607",29,"kontinui",2.72688195736565e-248
"14608",30,"kontinui",1.9905830520893e-244
"14609",31,"kontinui",5.28072276507528e-47
"14610",32,"kontinui",1.45104829390076e-254
"14611",33,"kontinui",7.52401043278835e-37
"14612",34,"kontinui",4.55801859231995e-255
"14613",35,"kontinui",4.51535342834769e-56
"14614",36,"kontinui",1.1673601869229e-83
"14615",37,"kontinui",2.4198788822852e-67
"14616",1,"schulerlaborbesuch",2.72586119086726e-299
"14617",2,"schulerlaborbesuch",1.21249065321188e-296
"14618",3,"schulerlaborbesuch",1.00764629257334e-41
"14619",4,"schulerlaborbesuch",1.50039323945659e-303
"14620",5,"schulerlaborbesuch",2.9289401118147e-71
"14621",6,"schulerlaborbesuch",3.67478480928542e-306
"14622",7,"schulerlaborbesuch",8.05080023837634e-110
"14623",8,"schulerlaborbesuch",0.0173240755841124
"14624",9,"schulerlaborbesuch",7.22883801734429e-188
"14625",10,"schulerlaborbesuch",3.95744997828019e-301
"14626",11,"schulerlaborbesuch",5.14128260407565e-229
"14627",12,"schulerlaborbesuch",4.06020582954173e-301
"14628",13,"schulerlaborbesuch",2.61177410034958e-75
"14629",14,"schulerlaborbesuch",2.1269348653504e-302
"14630",15,"schulerlaborbesuch",5.81425634666331e-299
"14631",16,"schulerlaborbesuch",1.39569658149588e-305
"14632",17,"schulerlaborbesuch",1.38970326290993e-304
"14633",18,"schulerlaborbesuch",9.68699638795078e-74
"14634",19,"schulerlaborbesuch",7.91967507943771e-300
"14635",20,"schulerlaborbesuch",2.28761026277377e-304
"14636",21,"schulerlaborbesuch",1.8543654443775e-296
"14637",22,"schulerlaborbesuch",5.66651441419595e-89
"14638",23,"schulerlaborbesuch",5.44519906633771e-110
"14639",24,"schulerlaborbesuch",2.04736590242175e-307
"14640",25,"schulerlaborbesuch",1.46150265398601e-304
"14641",26,"schulerlaborbesuch",3.0883489316358e-302
"14642",27,"schulerlaborbesuch",3.45362733636178e-301
"14643",28,"schulerlaborbesuch",2.98293065607116e-309
"14644",29,"schulerlaborbesuch",3.76646519478841e-300
"14645",30,"schulerlaborbesuch",1.50433849116806e-125
"14646",31,"schulerlaborbesuch",1.04734299680342e-106
"14647",32,"schulerlaborbesuch",1.58556378713385e-301
"14648",33,"schulerlaborbesuch",4.94847906460516e-298
"14649",34,"schulerlaborbesuch",5.57884407755593e-305
"14650",35,"schulerlaborbesuch",9.58843856790423e-80
"14651",36,"schulerlaborbesuch",1.55910789965677e-305
"14652",37,"schulerlaborbesuch",6.92310481125729e-124
"14653",1,"adaptivitat",7.70006623431637e-253
"14654",2,"adaptivitat",1.32906859190069e-68
"14655",3,"adaptivitat",1.78254970913378e-250
"14656",4,"adaptivitat",1.57853669602643e-124
"14657",5,"adaptivitat",1.54947533439512e-254
"14658",6,"adaptivitat",2.25037704380599e-258
"14659",7,"adaptivitat",1.10738812791119e-255
"14660",8,"adaptivitat",9.20477928223842e-260
"14661",9,"adaptivitat",1.33605037821865e-251
"14662",10,"adaptivitat",1.02636572127284e-254
"14663",11,"adaptivitat",1.1652257659813e-45
"14664",12,"adaptivitat",1.55411632151863e-253
"14665",13,"adaptivitat",5.18045670428919e-15
"14666",14,"adaptivitat",5.21900685052124e-249
"14667",15,"adaptivitat",1.22301750328181e-219
"14668",16,"adaptivitat",1.10374935659783e-48
"14669",17,"adaptivitat",1.71898496069607e-258
"14670",18,"adaptivitat",1.84813236513884e-251
"14671",19,"adaptivitat",5.91684880483124e-256
"14672",20,"adaptivitat",3.641983024249e-06
"14673",21,"adaptivitat",3.22174266441753e-250
"14674",22,"adaptivitat",1.66769927870327e-253
"14675",23,"adaptivitat",2.06177956903602e-258
"14676",24,"adaptivitat",8.49318601499878e-215
"14677",25,"adaptivitat",2.52036683013292e-57
"14678",26,"adaptivitat",7.52280086867436e-253
"14679",27,"adaptivitat",0.00280563860917817
"14680",28,"adaptivitat",0.00177717004747212
"14681",29,"adaptivitat",5.92339803329173e-252
"14682",30,"adaptivitat",0.00241686533493629
"14683",31,"adaptivitat",4.12374555561569e-252
"14684",32,"adaptivitat",8.32257139419253e-257
"14685",33,"adaptivitat",1.08795362964415e-249
"14686",34,"adaptivitat",2.13587402312966e-256
"14687",35,"adaptivitat",0.00247659590587217
"14688",36,"adaptivitat",1.09678532798021e-77
"14689",37,"adaptivitat",4.52860896550361e-261
"14690",1,"akzeptanz",1.15434985957256e-71
"14691",2,"akzeptanz",0.00633924756435747
"14692",3,"akzeptanz",1.46590315436233e-62
"14693",4,"akzeptanz",0.0298674551167282
"14694",5,"akzeptanz",0.00287063949265184
"14695",6,"akzeptanz",9.22249450868031e-47
"14696",7,"akzeptanz",4.31887693756428e-30
"14697",8,"akzeptanz",1.31963857445496e-122
"14698",9,"akzeptanz",2.31581640784088e-66
"14699",10,"akzeptanz",1.51325293496434e-52
"14700",11,"akzeptanz",0.000130444961674061
"14701",12,"akzeptanz",4.71020127792276e-257
"14702",13,"akzeptanz",9.48096905124764e-70
"14703",14,"akzeptanz",3.36355901354445e-67
"14704",15,"akzeptanz",1.01041818943405e-33
"14705",16,"akzeptanz",3.44145647883091e-12
"14706",17,"akzeptanz",1.18679926563382e-253
"14707",18,"akzeptanz",6.82323940422261e-252
"14708",19,"akzeptanz",3.41490425350555e-260
"14709",20,"akzeptanz",8.97140639299692e-263
"14710",21,"akzeptanz",1.33071989144202e-251
"14711",22,"akzeptanz",3.21125536901267e-255
"14712",23,"akzeptanz",0.00443716893508922
"14713",24,"akzeptanz",6.14118191756101e-65
"14714",25,"akzeptanz",1.2272712226432e-263
"14715",26,"akzeptanz",3.01426307810225e-37
"14716",27,"akzeptanz",2.20708036011346e-62
"14717",28,"akzeptanz",6.75862667793018e-08
"14718",29,"akzeptanz",2.42159648683173e-08
"14719",30,"akzeptanz",8.02417750296635e-45
"14720",31,"akzeptanz",4.77033062536959e-75
"14721",32,"akzeptanz",3.42091952851651e-257
"14722",33,"akzeptanz",4.58187747788795e-73
"14723",34,"akzeptanz",1.73770459071651e-259
"14724",35,"akzeptanz",0.00228897213321872
"14725",36,"akzeptanz",1.00414157798139e-180
"14726",37,"akzeptanz",3.05410867914039e-266
"14727",1,"anlag",8.67106461600537e-108
"14728",2,"anlag",1.9566896596147e-253
"14729",3,"anlag",1.50569840121296e-34
"14730",4,"anlag",9.66127903042459e-52
"14731",5,"anlag",4.34165168074366e-46
"14732",6,"anlag",4.90931512317407e-32
"14733",7,"anlag",0.00280621481514619
"14734",8,"anlag",9.09550911588877e-59
"14735",9,"anlag",2.07967892915048e-53
"14736",10,"anlag",1.54429777815899e-61
"14737",11,"anlag",0.00883866861724138
"14738",12,"anlag",4.64656571185721e-183
"14739",13,"anlag",1.52471599966239e-38
"14740",14,"anlag",1.44384443496888e-60
"14741",15,"anlag",5.76713562367469e-237
"14742",16,"anlag",1.67313862072633e-62
"14743",17,"anlag",6.27814872578014e-83
"14744",18,"anlag",3.91406441548298e-258
"14745",19,"anlag",1.27370836509626e-65
"14746",20,"anlag",0.00206012870681027
"14747",21,"anlag",1.4574489761292e-256
"14748",22,"anlag",2.57284385455726e-253
"14749",23,"anlag",2.44105538243108e-262
"14750",24,"anlag",2.69222754478893e-227
"14751",25,"anlag",1.17631102094246e-55
"14752",26,"anlag",7.95275787188544e-65
"14753",27,"anlag",9.51140865361767e-58
"14754",28,"anlag",4.47100819829504e-35
"14755",29,"anlag",1.36992074608647e-62
"14756",30,"anlag",0.00316470946496161
"14757",31,"anlag",1.09658928818752e-43
"14758",32,"anlag",2.17580200488272e-45
"14759",33,"anlag",5.96455588481482e-31
"14760",34,"anlag",1.01092200353181e-261
"14761",35,"anlag",0.0103896466833227
"14762",36,"anlag",2.46923525271685e-263
"14763",37,"anlag",9.82416229065776e-267
"14764",1,"befind",5.7563320738582e-269
"14765",2,"befind",2.05045147522036e-265
"14766",3,"befind",7.63004411078547e-50
"14767",4,"befind",5.77809199584894e-123
"14768",5,"befind",1.16904390059478e-270
"14769",6,"befind",2.50751321878002e-57
"14770",7,"befind",1.03367602965906e-272
"14771",8,"befind",0.00468922439659941
"14772",9,"befind",7.1195472023665e-269
"14773",10,"befind",8.56875027424487e-51
"14774",11,"befind",1.46176213540557e-260
"14775",12,"befind",1.18222394149705e-93
"14776",13,"befind",2.12324778555381e-274
"14777",14,"befind",1.26537071688717e-67
"14778",15,"befind",0.00413391838578659
"14779",16,"befind",2.08404188759465e-26
